Prompt	Category	Challenge	Note	Decision
a full pint of IPA	Food & Beverage	Simple Detail		same
a half-full pitcher of stout	Food & Beverage	Simple Detail		same
Times Square during the day	World Knowledge	Simple Detail		ret
Times Square at night	World Knowledge	Simple Detail		gen
the Kremlin at night	World Knowledge	Simple Detail		ret
a hot air balloon floating by the Kremlin	World Knowledge	Simple Detail		same
a black shoe with a lightning bolt on it	Artifacts	Simple Detail		same
a plant with small flowers with purple petals	Produce & Plants	Simple Detail		same
a plant with orange flowers shaped like stars	Produce & Plants	Simple Detail		same
a flower with large yellow petals	Produce & Plants	Simple Detail		gen
a yellow diamond-shaped sign	Artifacts	Simple Detail		same
an elephant in a tennis court	Animals	Simple Detail		gen
a silver fire hydrant next to a sidewalk	Artifacts	Simple Detail		same
a yellow fire hydrant in grass	Artifacts	Simple Detail		gen
a red fire hydrant by a brick wall	Artifacts	Simple Detail		gen
a rusty fire hydrant surrounded by dirt	Artifacts	Simple Detail		same
a fire hydrant with graffiti on it	Artifacts	Simple Detail		same
a snake curled around a wooden post	Animals	Simple Detail		gen
a grand piano with a white bench	Indoor Scenes	Simple Detail		ret
a piano with Christmas lights all over it	Indoor Scenes	Simple Detail		gen
a piano with an open song book above the keys 	Indoor Scenes	Simple Detail		same
an ornate gold harp	Artifacts	Simple Detail		same
a massive modern windmill	Outdoor Scenes	Simple Detail		gen
a red sport bike	Vehicles	Simple Detail		same
a painting of black and white vertical stripes	Illustrations	Simple Detail		gen
a painting of black and white checkerboard	Illustrations	Simple Detail		same
a painting of black and white with a red border	Illustrations	Simple Detail		gen
a team playing baseball	People	Simple Detail		same
children on a couch	People	Simple Detail		ret
a woman with long hair	People	Simple Detail		same
a man standing under a tree	People	Simple Detail		same
a smiling man	People	Simple Detail		ret
an elderly woman	People	Simple Detail		gen
an old man	People	Simple Detail		gen
a man with puppet	People	Simple Detail		same
a boy going to school	People	Simple Detail		same
a girl going to a farm	People	Simple Detail		gen
a family on a road trip	People	Simple Detail		same
a father and a son playing tennis	People	Simple Detail		gen
a man heading a soccer ball	People	Simple Detail		gen
a sad man with green hair	People	Simple Detail		gen
a woman with sunglasses and red hair	People	Simple Detail		gen
a man looking at a distant mountain	People	Simple Detail		gen
a woman looking at a house	People	Simple Detail		same
a man riding a horse	People	Simple Detail		same
a man chasing a cat	People	Simple Detail		ret
a man chasing a horse	People	Simple Detail		ret
a pumpkin on a man's head	People	Simple Detail		same
an angry man	People	Simple Detail		gen
a frustrated child	People	Simple Detail		ret
a laughing woman	People	Simple Detail		same
a woman running on a trail	People	Simple Detail		same
a boy jumping off a wall	People	Simple Detail		same
a girl diving into a pool	People	Simple Detail		ret
a man banging on a door	People	Simple Detail		same
a comic book supervillian	Artifacts	Simple Detail		same
Downtown Istanbul at sunrise. detailed ink wash.	World Knowledge	Style & Format		gen
Downtown Seattle at sunrise. detailed ink wash.	World Knowledge	Style & Format		same
Downtown Beijing at sunrise. detailed ink wash.	World Knowledge	Style & Format		gen
Downtown Rio de Janeiro at sunrise. detailed ink wash.	World Knowledge	Style & Format		same
Downtown LA at sunrise. detailed ink wash.	World Knowledge	Style & Format		ret
Downtown Sydney at sunrise. detailed ink wash.	World Knowledge	Style & Format		gen
Downtown Sanfrancisco at sunrise. detailed ink wash.	World Knowledge	Style & Format		same
Downtown Singapore at sunrise. detailed ink wash.	World Knowledge	Style & Format		same
Downtown NYC at sunrise. detailed ink wash.	World Knowledge	Style & Format		gen
Downtown Austin at sunrise. detailed ink wash.	World Knowledge	Style & Format		gen
Downtown Shanghai at sunrise. detailed ink wash.	World Knowledge	Style & Format		ret
Downtown Saigon at sunrise. detailed ink wash.	World Knowledge	Style & Format		same
A section of the Great Wall in the mountains. detailed charcoal sketch.	World Knowledge	Style & Format		gen
The Great Hypostyle Hall of Karnak. detailed charcoal sketch.	World Knowledge	Style & Format		gen
A Mesoamerican pyramid surrounded by jungle. detailed charcoal sketch.	World Knowledge	Style & Format		same
Taj Mahal with its reflection. detailed charcoal sketch.	World Knowledge	Style & Format		same
A spaceship made of cardboard.	Artifacts	Style & Format		gen
A old phonograph made of cardboard.	Artifacts	Style & Format		same
A castle made of cardboard.	Artifacts	Style & Format		same
A photo of a dragonfly made of water.	Animals	Style & Format		ret
A photo of a panda made of water.	Animals	Style & Format		same
A photo of a teddy bear made of water.	Animals	Style & Format		gen
A photo of a crocodile made of water.	Animals	Style & Format		ret
A photo of a lotus flower made of water. 	Produce & Plants	Style & Format		same
A photo of a maple leaf made of water. 	Produce & Plants	Style & Format		ret
A photo of a palm tree made of water. 	Produce & Plants	Style & Format		ret
A photo of a four-leaf clover made of water. 	Produce & Plants	Style & Format		same
an abstract oil painting in deep red and black with a thick patches of white	Arts	Style & Format		gen
light and happiness throughout and finding its way to every corner of the world, abstract oil painting	Arts	Style & Format		same
trying to find my way in a big confusing world, abstract oil painting	Arts	Style & Format		same
the door of knowing, a portal brightly opening the way through darkness. abstract anime landscape oil painting.	Arts	Style & Format		ret
A soft beam of light shines down on an armored granite wombat warrior statue holding a broad sword. The statue stands an ornate pedestal in the cella of a temple. wide-angle lens. anime oil painting.	Animals	Style & Format		gen
Oil painting generated by artificial intelligence	Abstract	Style & Format		same
A heavy metal tiger standing on a rooftop while singing and jamming on an electric guitar under a spotlight. anime illustration.	Animals	Style & Format		gen
A funny Rube Goldberg machine made out of metal	World Knowledge	Style & Format		same
A funny Rube Goldberg machine made out of paper	World Knowledge	Style & Format		same
A funny Rube Goldberg machine made out of wood	World Knowledge	Style & Format		gen
Oil painting of a giant robot made of sushi, holding chopsticks.	Artifacts	Style & Format		same
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Charcoal.	Animals	Style & Format		ret
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Child's crayon drawing.	Animals	Style & Format		same
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Chinese ink.	Animals	Style & Format		gen
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Comic.	Animals	Style & Format		gen
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Marble statue.	Animals	Style & Format		gen
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Oil on canvas.	Animals	Style & Format		gen
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Photograph.	Animals	Style & Format		gen
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Watercolor.	Animals	Style & Format		gen
Portrait of a gecko wearing a train conductor’s hat and holding a flag that has a yin-yang symbol on it. Woodcut.	Animals	Style & Format		gen
A rusty spaceship blasts off in the foreground. A city with tall skyscrapers is in the distance, with a mountain and ocean in the background. A dark moon is in the sky. realistic high-contrast anime illustration.	Vehicles	Style & Format		same
A photo of an Athenian vase with a painting of pandas playing basketball in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		same
A photo of an Athenian vase with a painting of pandas playing soccer in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		gen
A photo of an Athenian vase with a painting of pandas playing tennis in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		gen
A photo of an Athenian vase with a painting of pangolins playing basketball in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		gen
A photo of an Athenian vase with a painting of pangolins playing soccer in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		gen
A photo of an Athenian vase with a painting of pangolins playing tennis in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		same
A photo of an Athenian vase with a painting of toucans playing basketball in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		same
A photo of an Athenian vase with a painting of toucans playing soccer in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		ret
A photo of an Athenian vase with a painting of toucans playing tennis in the style of Egyptian hieroglyphics	World Knowledge	Style & Format		gen
A shiny VW van in front of a cityscape. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. High-contrast oil painting.	World Knowledge	Style & Format		ret
A shiny VW van that has flowers painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. ink sketch.	World Knowledge	Style & Format		same
Wood engraving of the Greek letter Omega	World Knowledge	Style & Format		ret
a satellite image of a costal french city there is a large park on the west side and a mountain to the north. There is a cloud covering part of the image	Illustrations	Style & Format		ret
A gundam stands tall with its sword raised. A city with tall skyscrapers is in the distance, with a mountain and ocean in the background. A dark moon is in the sky. realistic high-contrast anime illustration.	World Knowledge	Style & Format		same
Hokusai's version of Animal Farm	Arts	Style & Format		gen
A photograph in a temple of a wall painting depicting pandas playing tennis, in the style of Egyptian tomb hieroglyphics	World Knowledge	Style & Format		gen
an old raccoon wearing a top hat and holding an apple, oil painting in the style of van gogh	Arts	Style & Format		same
portrait of a well-dressed raccoon, oil painting in the style of Rembrandt	Arts	Style & Format		ret
close-up portrait of a smiling businesswoman holding a cell phone, oil painting in the style of Rembrandt	People	Style & Format		same
a portrait of a man wearing sunglasses and a business suit, painting in pop art style	People	Style & Format		ret
a sport car melting into a clock, surrealist painting in the style of Salvador Dali	Arts	Style & Format		gen
a stained glass window depicting a calm tyrannosaurus rex	Illustrations	Style & Format		ret
a tennis match in the style of Egyptian hieroglyphic tomb paintings	World Knowledge	Style & Format		same
vibrant portrait painting of Salvador Dalí with a robotic half face	People	Style & Format	DALL-E 2	same
an espresso machine that makes coffee from human souls, high-contrast painting	Artifacts	Style & Format	DALL-E 2	gen
panda mad scientist mixing sparkling chemicals, high-contrast painting	Animals	Style & Format	DALL-E 2	gen
a dolphin in an astronaut suit on saturn, high-contrast painting	Animals	Style & Format	DALL-E 2	gen
The Oriental Pearl in sketch style	World Knowledge	Style & Format	CogView	gen
The Oriental Pearl in Chinese painting	World Knowledge	Style & Format	CogView	same
The Oriental Pearl in oil painting	World Knowledge	Style & Format	CogView	gen
a capybara made of voxels sitting in a field	Animals	Style & Format	DALL-E	same
an emoji of a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants	Illustrations	Style & Format	DALL-E	gen
a professional high quality emoji of a lovestruck cup of boba	Illustrations	Style & Format	DALL-E	same
a dutch baroque painting of a horse in a field of flowers	Arts	Style & Format		gen
Icon of a red heart	Illustrations	Style & Format	VQ-Diffusion	ret
A cartoon house with red roof	Illustrations	Style & Format	VQ-Diffusion	same
A cartoon tiger face	Animals	Style & Format	VQ-Diffusion	same
Face of an orange frog in cartoon style	Animals	Style & Format	VQ-Diffusion	ret
A vector illustration of a tree	Illustrations	Style & Format	VQ-Diffusion	gen
an abstract painting of the Empire State Building	World Knowledge	Style & Format		gen
an abstract painting of the Sydney Opera House	World Knowledge	Style & Format		same
a painting of a white country home with a wrap-around porch	Outdoor Scenes	Style & Format		ret
an oil painting of a cat playing checkers	Arts	Style & Format		same
a surrealist dream-like oil painting by salvador dalí of a cat playing checkers	Arts	Style & Format	GLIDE	gen
an oil painting of a hamster dragon	Arts	Style & Format	GLIDE	gen
a high-quality oil painting of a psychedelic hamster dragon	Arts	Style & Format	GLIDE	ret
a painting of a fox in the style of starry night	Arts	Style & Format	GLIDE	same
a stained glass window of a panda eating bamboo	Artifacts	Style & Format	GLIDE	same
a crayon drawing of a space elevator	Vehicles	Style & Format	GLIDE	same
a futuristic city in synthwave style	Outdoor Scenes	Style & Format	GLIDE	ret
a pixel art corgi pizza	Illustrations	Style & Format	GLIDE	same
a green clock in the shape of a pentagon	Artifacts	Style & Format	DALL-E	gen
a painting of a phone from the 20s	Artifacts	Style & Format	DALL-E	same
a painting of the food of china	Food & Beverage	Style & Format	DALL-E	ret
a photograph of a bust of homer	People	Style & Format	DALL-E	gen
a drawing of a bust of homer	People	Style & Format	DALL-E	ret
an armchair in the shape of an avocado	Artifacts	Style & Format	DALL-E	same
a painting of the skyline of New York City	World Knowledge	Style & Format		ret
a drawing of the skyline of New York City	World Knowledge	Style & Format		same
a cartoon of a train going to the moon	Vehicles	Style & Format		gen
a cartoon of a cow jumping over the moon	Animals	Style & Format		ret
orange jello in the shape of a man	Food & Beverage	Style & Format		ret
a comic about a friendly car in the city	Artifacts	Style & Format		gen
a painting of street in Paris	World Knowledge	Style & Format		ret
a painting of a canal in Venice	World Knowledge	Style & Format		same
an abstract painting with blue, red and black	Arts	Style & Format		same
an abstract painting of a waterfall	Arts	Style & Format		gen
an abstract painting of a spaceship	Arts	Style & Format		gen
an abstract painting of a pond with a bridge	Arts	Style & Format		ret
a cartoon of an angry shark	Animals	Style & Format		ret
a cartoon of a happy car on the road	Vehicles	Style & Format		same
a cartoon of a bear birthday party	Animals	Style & Format		same
a drawing of a house on a mountain	Arts	Style & Format		same
a cartoon of a house on a mountain	Illustrations	Style & Format		same
a painting of a house on a mountain	Arts	Style & Format		ret
an abstract painting of a house on a mountain	Arts	Style & Format		ret
a painting of a peaceful lakeside landscape	Arts	Style & Format		gen
a drawing of a peaceful lakeside landscape	Arts	Style & Format		gen
a map of Australia	World Knowledge	Style & Format		same
a map of Italy	World Knowledge	Style & Format		same
a map of South America	World Knowledge	Style & Format		same
a map of Texas	World Knowledge	Style & Format		same
a map of Manhattan	World Knowledge	Style & Format		gen
an impressionistic painting of tree and a building	Arts	Style & Format		same
an abstract painting of a tree and a building	Arts	Style & Format		gen
a watercolor painting of a tree and a building	Arts	Style & Format		same
an oil painting of a tree and a building	Arts	Style & Format		same
an abstract painting of three triangles in blue, red and white	Arts	Style & Format		gen
an abstract painting of three triangles in blue, yellow and red	Arts	Style & Format		ret
an abstract painting of three squares in blue, red and white	Arts	Style & Format		gen
an abstract painting of three squares in blue, yellow and red	Arts	Style & Format		gen
a painting of a cute owl on a box	Arts	Style & Format		ret
a horse in a field in Minecraft style	Animals	Style & Format		ret
a drawing of a pig face with an eye patch	Illustrations	Style & Format		gen
a drawing of a hammer	Illustrations	Style & Format		ret
a drawing of a screwdriver	Illustrations	Style & Format		ret
a drawing of a handsaw	Illustrations	Style & Format		ret
a drawing of a power drill	Illustrations	Style & Format		same
a cloud in the shape of a teacup	Outdoor Scenes	Style & Format		ret
a cloud in the shape of a elephant	Outdoor Scenes	Style & Format		ret
a cloud in the shape of a castle	Outdoor Scenes	Style & Format		ret
a footprint shaped like a peanut	Artifacts	Style & Format		gen
a drawing of a stork playing a violin	Illustrations	Style & Format		gen
The Statue of Liberty in Minecraft	World Knowledge	Style & Format		same
An oil painting of the Statue of Liberty	World Knowledge	Style & Format		same
An abstract painting of the Statue of Liberty	World Knowledge	Style & Format		gen
a diagram of brain function	Illustrations	Style & Format		gen
a diagram of the human digestive system	Illustrations	Style & Format		same
a diagram of a suburban house	Illustrations	Style & Format		ret
a stop sign with a blue background	Artifacts	Style & Format		ret
a painting of a sport car in the style of Monet	Arts	Style & Format		same
a painting of a sport car in the style of Dali	Arts	Style & Format		same
a drawing of a space shuttle in the style of da Vinci	Arts	Style & Format		gen
a coloring book page of a horse next to a stream	Artifacts	Style & Format		same
a sketch of a horse	Illustrations	Style & Format		same
a sketch of a skyscraper	Illustrations	Style & Format		gen
a sketch of a train	Illustrations	Style & Format		same
a sketch of a camel next to a stream	Illustrations	Style & Format		gen
a diagram of the star constellations	Illustrations	Style & Format		ret
a thumbnail image of an ice cream cone	Illustrations	Style & Format		gen
a thumbnail image of a horse and cart	Illustrations	Style & Format		same
background pattern with alternating roses and skulls	Illustrations	Style & Format		same
graffiti of a funny dog on a street wall	Illustrations	Style & Format		same
graffiti of a rocket ship on a brick wall	Illustrations	Style & Format		gen
a watercolor painting of a snowy owl standing in a grassy field	Arts	Style & Format		gen
a cute illustration of a horned owl with a graduation cap and diploma	Illustrations	Style & Format		ret
a cardboard spaceship	Vehicles	Style & Format		same
the flag of the United Kingdom painted in rusty corrugated iron	World Knowledge	Style & Format		gen
a diagram of the solar system	Illustrations	Style & Format		gen
a drawing of a pint of beer on a brick wall	Illustrations	Style & Format		same
an abstract painting of the lights at Times Square	World Knowledge	Style & Format		gen
an abstract drawing of the Great Wall	World Knowledge	Style & Format		gen
a diagram of the Great Wall	World Knowledge	Style & Format		same
a map showing the Great Wall	World Knowledge	Style & Format		gen
a still life painting of a pair of shoes	Artifacts	Style & Format		same
an impressionist painting of the geyser Old Faithful	World Knowledge	Style & Format		same
a diagram of how the geyser Old Faithful works	World Knowledge	Style & Format		same
an abstract painting of the Great Pyramid	World Knowledge	Style & Format		same
a diagram of the inside of the Great Pyramid	World Knowledge	Style & Format		ret
the silhouette of the Milllenium Wheel at dusk	World Knowledge	Style & Format		gen
a painting of ten children on a couch	People	Style & Format		same
a painting of a man standing on a street corner	People	Style & Format		same
a painting of a man standing under a tree	People	Style & Format		gen
a drawing of a man standing under a tree	People	Style & Format		gen
a cartoon of a man standing under a tree	People	Style & Format		gen
a comic about a boy going to school	People	Style & Format		ret
a comic about a girl going to a farm	People	Style & Format		gen
a comic about a boy and a tiger	People	Style & Format		gen
a comic about a family on a road trip	People	Style & Format		same
a comic about a father and a son playing tennis	People	Style & Format		same
a cartoon of a boy playing with a tiger	People	Style & Format		same
the mona lisa	People	Style & Format		same
a painting of the Mona Lisa with a frown	People	Style & Format		same
a painting of the Mona Lisa with New York City behind her	People	Style & Format		ret
the Mona Lisa in the style of Minecraft	People	Style & Format		gen
a thumbnail image of a person skiing	People	Style & Format		ret
a thumbnail image of a gingerbread man	Illustrations	Style & Format		same
the cover of The Beatle's album Revolver	World Knowledge	Style & Format		gen
the saying "BE EXCELLENT TO EACH OTHER" on a rough wall with a graffiti image of a green alien wearing a tuxedo.	Outdoor Scenes	Writing & Symbols		same
A green sign that says "Very Deep Learning" and is at the edge of the Grand Canyon.	World Knowledge	Writing & Symbols		same
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. charcoal sketch	Animals	Writing & Symbols		gen
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. child's crayon drawing	Animals	Writing & Symbols		gen
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. Chinese ink and wash painting	Animals	Writing & Symbols		same
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. color ink-and-wash drawing	Animals	Writing & Symbols		gen
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. comic book illustration	Animals	Writing & Symbols		ret
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. marble statue	Animals	Writing & Symbols		gen
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. oil painting	Animals	Writing & Symbols		same
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. photograph	Animals	Writing & Symbols		same
Portrait of a tiger wearing a train conductor's hat and holding a skateboard that has a yin-yang symbol on it. woodcut	Animals	Writing & Symbols		same
Two cups of coffee, one with latte art of a map of United States. The other has latte art of a map of Africa.	World Knowledge	Writing & Symbols		same
Two cups of coffee, one with latte art of a lovely princess. The other has latte art of a frog.	Food & Beverage	Writing & Symbols		ret
Two cups of coffee, one with latte art of a heart. The other has latte art of stars.	Food & Beverage	Writing & Symbols		same
Two cups of coffee, one with latte art of the Eiffel tower. The other has latte art of the Statue of Liberty.	Food & Beverage	Writing & Symbols		same
A sign that says Deep Learning	Artifacts	Writing & Symbols		same
A bar of chocolate without a wrapper that has the word "WRAPPER" printed on it.	Artifacts	Writing & Symbols		ret
A glass of red wine tipped over on a couch, with a stain that writes "OOPS" on the couch.	Indoor Scenes	Writing & Symbols		same
Two cups of coffee, one with latte art of yin yang symbol. The other has latte art of a heart.	Food & Beverage	Writing & Symbols		gen
"G I G G L E" painted in thick colorful lettering as graffiti on a faded red brick wall with a splotch of exploding white paint.	Illustrations	Writing & Symbols		gen
high-contrast image of the word "WOMBAT" written with thick colored graffiti letters on a white wall with dramatic splashes of paint	Illustrations	Writing & Symbols		gen
A plush monkey fording the Charles River on a log while wearing a Boston Red Sox hat with MIT in the background.	World Knowledge	Writing & Symbols		gen
the letters P A X forming a very simple outline of an elephant's shape.  the elephant is facing left. vector art, orange logo.	Illustrations	Writing & Symbols		ret
A burger patty, with the bottom bun and lettuce and tomatoes. "COFFEE" written on it in mustard	Food & Beverage	Writing & Symbols		ret
Two cups of coffee, one with latte art of the words "LOVE" written in one. The other has latte art of the words "PEACE" written in the other.	Artifacts	Writing & Symbols		gen
The saying "BE EXCELLENT TO EACH OTHER" written in a stained glass window.	Illustrations	Writing & Symbols		same
The saying "BE EXCELLENT TO EACH OTHER" written in faded paint on the hull of an old wooden boat and reflected in the water. Wide-angle lens.	Illustrations	Writing & Symbols		same
The saying "BE EXCELLENT TO EACH OTHER" written on a red brick wall with a graffiti image of a green alien wearing a tuxedo. A yellow fire hydrant is on a sidewalk in the foreground.	Illustrations	Writing & Symbols		same
The saying "BE EXCELLENT TO EACH OTHER" written with carved letters on driftwood.	Illustrations	Writing & Symbols		gen
a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background.	Vehicles	Writing & Symbols		ret
A portrait photo of a kangaroo wearing an orange hoodie and blue sunglasses standing on the grassin front of the Sydney Opera House holding a sign on the chest that says Welcome Friends!	World Knowledge	Writing & Symbols		ret
Anime illustration of a kangaroo holding a sign that says "Starry Night", in front of the Sydney Opera House sitting next to the Eiffel Tower under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu	World Knowledge	Writing & Symbols		same
a group of cats in a meeting. there is a whiteboard with "stack more layers" written on it.	Indoor Scenes	Writing & Symbols		same
A high contrast portrait photo of a fluffy hamster wearing an orange beanie and sunglasses holding a sign that says "Let's PAINT!"	Animals	Writing & Symbols		ret
a cartoon of a dog saying "I see what you did there"	Animals	Writing & Symbols		gen
a robot holding a sign with "Let's PAINT!" written on it	Artifacts	Writing & Symbols		same
a dog wearing a baseball cap backwards and writing BONEZ on a chalkboard	Animals	Writing & Symbols		gen
graffiti spelling BE KIND on white subway tile	Illustrations	Writing & Symbols		same
a grumpy porcupine handing a check for $10,000 to a smiling peacock	Animals	Writing & Symbols		gen
a boat with 'BLUE GROOVE' written on its hull	Vehicles	Writing & Symbols		gen
a store front that has the word ‘openai’ written on it.	Outdoor Scenes	Writing & Symbols	DALL-E	same
a laptop with a maze sticker on it	Artifacts	Writing & Symbols		gen
a yellow t-shirt with a dog on it	Artifacts	Writing & Symbols		same
a blue t-shirt with a dinosaur on it	Artifacts	Writing & Symbols		same
a bowl with a dinosaur on it	Artifacts	Writing & Symbols		same
a bowl with a cartoon dinosaur on it	Artifacts	Writing & Symbols		same
a flag with a dinosaur on it	Illustrations	Writing & Symbols		gen
a flag with a drawing of a dinosaur on it	Artifacts	Writing & Symbols		ret
a flag with three vertical stripes	Illustrations	Writing & Symbols		same
a flag with three vertical stripes that are blue, white and red	Illustrations	Writing & Symbols		gen
a white towel with a cartoon of a cat on it	Artifacts	Writing & Symbols		gen
a black towel with a cartoon of a dog on it	Artifacts	Writing & Symbols		gen
a yellow wall with the word KA-BOOM on it	Artifacts	Writing & Symbols		gen
a cat sitting on a box with a drawing of an elephant on it	Animals	Writing & Symbols		ret
the word 'mardefly' on a coffee mug	Artifacts	Writing & Symbols		same
a stop sigh with 'ALL WAY' written below it	Artifacts	Writing & Symbols		ret
a sticker stuck in the middle of a stop sign	Artifacts	Writing & Symbols		same
world's best brother t-shirt	Artifacts	Writing & Symbols		same
the cover of a book called 'Backpropaganda' by I.C. Gradients	Illustrations	Writing & Symbols		gen
the saying 'do unto others as they would do unto you' written on a white background	Artifacts	Writing & Symbols		same
a t-shirt with Carpe Diem written on it	Artifacts	Writing & Symbols		gen
a sweatshirt with 'Batch Norm' written on it	Artifacts	Writing & Symbols		gen
a yellow sticky note with 'BUY MILK' written on it	Artifacts	Writing & Symbols		gen
a large open book showing text and an illustration of a cat	Artifacts	Writing & Symbols		same
a yellow wall with 'Hello, world.' written on it	Indoor Scenes	Writing & Symbols		gen
a motorcycle parked in an ornate bank lobby with "BUZZ" written on its body	Vehicles	Writing & Symbols		gen
a logo of a wombat on a coffee mug	Artifacts	Writing & Symbols		same
a coffee mug with an ankh symbol on it	Artifacts	Writing & Symbols		gen
a t-shirt with 'ANKH' written on it	Artifacts	Writing & Symbols		same
a t-shirt with 'Archaelogy Rocks!' written on it	Artifacts	Writing & Symbols		gen
a black t-shirt with the peace sign on it	Artifacts	Writing & Symbols		same
a store front with 'Grassy Meadow' written on it	Outdoor Scenes	Writing & Symbols		ret
a store front with 'AwesomePurchase' written on it	Outdoor Scenes	Writing & Symbols		gen
a laptop screen showing an internet search	Artifacts	Writing & Symbols		ret
a laptop screen showing a bunch of photographs	Artifacts	Writing & Symbols		gen
a laptop screen showing a document being edited	Artifacts	Writing & Symbols		gen
a book with the words 'Don't Panic!' written on it	Artifacts	Writing & Symbols		same
the words 'KEEP OFF THE GRASS'	Illustrations	Writing & Symbols		ret
the words 'KEEP OFF THE GRASS' written on a brick wall	Indoor Scenes	Writing & Symbols		same
the words 'KEEP OFF THE GRASS' on a black sticker	Illustrations	Writing & Symbols		same
the words 'KEEP OFF THE GRASS' on a sign next to a lawn	Outdoor Scenes	Writing & Symbols		ret
the word 'START'	Illustrations	Writing & Symbols		gen
the word 'START' written on a street surface	Illustrations	Writing & Symbols		same
the word 'START' on a blue t-shirt	Artifacts	Writing & Symbols		gen
the word 'START' written above the word 'SMILING'	Illustrations	Writing & Symbols		ret
the word 'START' written in chalk on a sidewalk	Outdoor Scenes	Writing & Symbols		same
a wooden post with a yellow '3' painted on top	Outdoor Scenes	Writing & Symbols		same
a wooden post in front of a patch of tall grass	Outdoor Scenes	Writing & Symbols		gen
a wooden post with a blue '5' painted on top	Outdoor Scenes	Writing & Symbols		same
a series of musical notes on a black t-shirt	Artifacts	Writing & Symbols		gen
a series of musical notes on a computer screen	Artifacts	Writing & Symbols		same
